Device: cuda
Num classes: 657
Model: resnet50

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1

Epoch [1/30] | Train Loss: 3.3002 | Train Top1: 0.3162 | Train Top5: 0.5656 | Val Loss: 1.9146 | Val Top1: 0.5376 | Val Top5: 0.8087 | Train Time: 193.737s | Val Time: 7.458s | Epoch Time: 201.196s
Epoch [2/30] | Train Loss: 1.6542 | Train Top1: 0.5915 | Train Top5: 0.8388 | Val Loss: 1.5708 | Val Top1: 0.6118 | Val Top5: 0.8551 | Train Time: 181.043s | Val Time: 7.195s | Epoch Time: 188.238s
Epoch [3/30] | Train Loss: 1.2169 | Train Top1: 0.6879 | Train Top5: 0.8978 | Val Loss: 1.4472 | Val Top1: 0.6471 | Val Top5: 0.8698 | Train Time: 181.136s | Val Time: 7.396s | Epoch Time: 188.532s
Epoch [4/30] | Train Loss: 0.9354 | Train Top1: 0.7528 | Train Top5: 0.9343 | Val Loss: 1.3948 | Val Top1: 0.6570 | Val Top5: 0.8755 | Train Time: 181.279s | Val Time: 7.309s | Epoch Time: 188.589s
Epoch [5/30] | Train Loss: 0.7333 | Train Top1: 0.8018 | Train Top5: 0.9576 | Val Loss: 1.3710 | Val Top1: 0.6761 | Val Top5: 0.8838 | Train Time: 181.412s | Val Time: 7.339s | Epoch Time: 188.751s
Epoch [6/30] | Train Loss: 0.5778 | Train Top1: 0.8393 | Train Top5: 0.9733 | Val Loss: 1.4452 | Val Top1: 0.6690 | Val Top5: 0.8800 | Train Time: 180.998s | Val Time: 7.208s | Epoch Time: 188.206s
Epoch [7/30] | Train Loss: 0.4643 | Train Top1: 0.8728 | Train Top5: 0.9829 | Val Loss: 1.4406 | Val Top1: 0.6743 | Val Top5: 0.8796 | Train Time: 181.267s | Val Time: 7.202s | Epoch Time: 188.469s
Epoch [8/30] | Train Loss: 0.3798 | Train Top1: 0.8933 | Train Top5: 0.9892 | Val Loss: 1.4744 | Val Top1: 0.6817 | Val Top5: 0.8738 | Train Time: 180.920s | Val Time: 7.167s | Epoch Time: 188.087s
Epoch [9/30] | Train Loss: 0.3144 | Train Top1: 0.9125 | Train Top5: 0.9931 | Val Loss: 1.4979 | Val Top1: 0.6825 | Val Top5: 0.8753 | Train Time: 180.676s | Val Time: 7.326s | Epoch Time: 188.002s
Epoch [10/30] | Train Loss: 0.2755 | Train Top1: 0.9224 | Train Top5: 0.9951 | Val Loss: 1.5522 | Val Top1: 0.6778 | Val Top5: 0.8756 | Train Time: 180.769s | Val Time: 7.156s | Epoch Time: 187.925s
Epoch [11/30] | Train Loss: 0.2474 | Train Top1: 0.9288 | Train Top5: 0.9963 | Val Loss: 1.5560 | Val Top1: 0.6812 | Val Top5: 0.8759 | Train Time: 180.883s | Val Time: 7.176s | Epoch Time: 188.059s
Epoch [12/30] | Train Loss: 0.2176 | Train Top1: 0.9382 | Train Top5: 0.9973 | Val Loss: 1.5814 | Val Top1: 0.6849 | Val Top5: 0.8721 | Train Time: 180.822s | Val Time: 7.560s | Epoch Time: 188.382s
Epoch [13/30] | Train Loss: 0.2018 | Train Top1: 0.9426 | Train Top5: 0.9974 | Val Loss: 1.6702 | Val Top1: 0.6675 | Val Top5: 0.8695 | Train Time: 181.167s | Val Time: 7.230s | Epoch Time: 188.397s
Epoch [14/30] | Train Loss: 0.1892 | Train Top1: 0.9466 | Train Top5: 0.9979 | Val Loss: 1.6870 | Val Top1: 0.6647 | Val Top5: 0.8693 | Train Time: 181.241s | Val Time: 7.207s | Epoch Time: 188.448s
Epoch [15/30] | Train Loss: 0.1738 | Train Top1: 0.9503 | Train Top5: 0.9981 | Val Loss: 1.6585 | Val Top1: 0.6821 | Val Top5: 0.8715 | Train Time: 180.975s | Val Time: 7.309s | Epoch Time: 188.284s
Epoch [16/30] | Train Loss: 0.1647 | Train Top1: 0.9529 | Train Top5: 0.9985 | Val Loss: 1.6948 | Val Top1: 0.6740 | Val Top5: 0.8679 | Train Time: 181.146s | Val Time: 7.394s | Epoch Time: 188.540s
