Device: cuda
Num classes: 657
Model: convnext_base.fb_in22k_ft_in1k

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.05
Label Smoothing: 0.1
Dropout Rate: 0.3
Early Stopping Patience: 10
Scheduler: OneCycleLR (max_lr=0.0005, pct_start=0.1)
Mixup Alpha: 0.2
CutMix Alpha: 1.0

Epoch [1/60] | Train Loss: 4.9516 | Train Top1: 0.1547 | Train Top5: 0.2954 | Val Loss: 2.5805 | Val Top1: 0.5853 | Val Top5: 0.8607 | LR: 2.00e-05 | Train Time: 458.952s | Val Time: 37.566s | Epoch Time: 496.517s
Epoch [2/60] | Train Loss: 3.2609 | Train Top1: 0.3626 | Train Top5: 0.5744 | Val Loss: 2.1008 | Val Top1: 0.6778 | Val Top5: 0.9016 | LR: 5.22e-05 | Train Time: 427.863s | Val Time: 22.985s | Epoch Time: 450.848s
Epoch [3/60] | Train Loss: 2.9990 | Train Top1: 0.3796 | Train Top5: 0.5779 | Val Loss: 2.0874 | Val Top1: 0.6822 | Val Top5: 0.9008 | LR: 1.40e-04 | Train Time: 418.095s | Val Time: 22.977s | Epoch Time: 441.072s
Epoch [4/60] | Train Loss: 3.0094 | Train Top1: 0.3680 | Train Top5: 0.5615 | Val Loss: 2.1470 | Val Top1: 0.6754 | Val Top5: 0.8922 | LR: 2.60e-04 | Train Time: 418.238s | Val Time: 23.014s | Epoch Time: 441.253s
Epoch [5/60] | Train Loss: 3.0313 | Train Top1: 0.3749 | Train Top5: 0.5712 | Val Loss: 2.2265 | Val Top1: 0.6513 | Val Top5: 0.8798 | LR: 3.80e-04 | Train Time: 418.078s | Val Time: 22.981s | Epoch Time: 441.060s
Epoch [6/60] | Train Loss: 2.9951 | Train Top1: 0.3835 | Train Top5: 0.5733 | Val Loss: 2.1754 | Val Top1: 0.6725 | Val Top5: 0.8843 | LR: 4.68e-04 | Train Time: 417.961s | Val Time: 22.969s | Epoch Time: 440.930s
Epoch [7/60] | Train Loss: 2.9159 | Train Top1: 0.3961 | Train Top5: 0.5823 | Val Loss: 2.2142 | Val Top1: 0.6626 | Val Top5: 0.8787 | LR: 5.00e-04 | Train Time: 418.221s | Val Time: 22.983s | Epoch Time: 441.203s
Epoch [8/60] | Train Loss: 2.8589 | Train Top1: 0.4190 | Train Top5: 0.6060 | Val Loss: 2.1095 | Val Top1: 0.6963 | Val Top5: 0.8923 | LR: 5.00e-04 | Train Time: 418.693s | Val Time: 22.992s | Epoch Time: 441.685s
Epoch [9/60] | Train Loss: 2.7870 | Train Top1: 0.4210 | Train Top5: 0.5996 | Val Loss: 2.1874 | Val Top1: 0.6770 | Val Top5: 0.8798 | LR: 4.98e-04 | Train Time: 417.948s | Val Time: 22.961s | Epoch Time: 440.908s
Epoch [10/60] | Train Loss: 2.7520 | Train Top1: 0.4244 | Train Top5: 0.6007 | Val Loss: 2.0865 | Val Top1: 0.7036 | Val Top5: 0.8926 | LR: 4.96e-04 | Train Time: 418.341s | Val Time: 22.980s | Epoch Time: 441.321s
Epoch [11/60] | Train Loss: 2.7203 | Train Top1: 0.4381 | Train Top5: 0.6162 | Val Loss: 2.1319 | Val Top1: 0.6926 | Val Top5: 0.8891 | LR: 4.93e-04 | Train Time: 417.900s | Val Time: 22.989s | Epoch Time: 440.889s
