Device: cuda
Num classes: 657
Model: vit_base

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.02
Label Smoothing: 0.1
Dropout Rate: 0.4
Early Stopping Patience: 10
Scheduler: OneCycleLR (max_lr=0.001, pct_start=0.1)
Mixup Alpha: 0.2
CutMix Alpha: 1.0

Epoch [1/60] | Train Loss: 5.6605 | Train Top1: 0.0628 | Train Top5: 0.1546 | Val Loss: 4.1899 | Val Top1: 0.3020 | Val Top5: 0.5810 | LR: 4.00e-05 | Train Time: 341.055s | Val Time: 17.012s | Epoch Time: 358.067s
Epoch [2/60] | Train Loss: 4.6002 | Train Top1: 0.1673 | Train Top5: 0.3375 | Val Loss: 3.6928 | Val Top1: 0.3308 | Val Top5: 0.6145 | LR: 1.04e-04 | Train Time: 328.258s | Val Time: 16.944s | Epoch Time: 345.202s
Epoch [3/60] | Train Loss: 4.5605 | Train Top1: 0.1585 | Train Top5: 0.3185 | Val Loss: 3.7292 | Val Top1: 0.3242 | Val Top5: 0.5992 | LR: 2.80e-04 | Train Time: 340.084s | Val Time: 16.861s | Epoch Time: 356.945s
Epoch [4/60] | Train Loss: 4.6250 | Train Top1: 0.1520 | Train Top5: 0.3030 | Val Loss: 3.7450 | Val Top1: 0.3151 | Val Top5: 0.5853 | LR: 5.20e-04 | Train Time: 339.605s | Val Time: 21.249s | Epoch Time: 360.855s
Epoch [5/60] | Train Loss: 4.7236 | Train Top1: 0.1472 | Train Top5: 0.2973 | Val Loss: 3.6579 | Val Top1: 0.3317 | Val Top5: 0.6013 | LR: 7.60e-04 | Train Time: 347.828s | Val Time: 22.788s | Epoch Time: 370.616s
Epoch [6/60] | Train Loss: 4.6379 | Train Top1: 0.1510 | Train Top5: 0.2991 | Val Loss: 3.7253 | Val Top1: 0.3237 | Val Top5: 0.5846 | LR: 9.36e-04 | Train Time: 342.628s | Val Time: 20.302s | Epoch Time: 362.930s
Epoch [7/60] | Train Loss: 4.5863 | Train Top1: 0.1643 | Train Top5: 0.3122 | Val Loss: 3.5107 | Val Top1: 0.3689 | Val Top5: 0.6349 | LR: 1.00e-03 | Train Time: 345.087s | Val Time: 16.852s | Epoch Time: 361.939s
Epoch [8/60] | Train Loss: 4.4148 | Train Top1: 0.1856 | Train Top5: 0.3417 | Val Loss: 3.4620 | Val Top1: 0.3826 | Val Top5: 0.6467 | LR: 9.99e-04 | Train Time: 345.327s | Val Time: 19.150s | Epoch Time: 364.478s
Epoch [9/60] | Train Loss: 4.3117 | Train Top1: 0.2043 | Train Top5: 0.3604 | Val Loss: 3.3471 | Val Top1: 0.4069 | Val Top5: 0.6672 | LR: 9.97e-04 | Train Time: 343.756s | Val Time: 19.724s | Epoch Time: 363.480s
Epoch [10/60] | Train Loss: 4.2218 | Train Top1: 0.2064 | Train Top5: 0.3632 | Val Loss: 3.3270 | Val Top1: 0.4143 | Val Top5: 0.6747 | LR: 9.92e-04 | Train Time: 335.527s | Val Time: 17.541s | Epoch Time: 353.068s
Epoch [11/60] | Train Loss: 4.1214 | Train Top1: 0.2226 | Train Top5: 0.3806 | Val Loss: 3.1724 | Val Top1: 0.4460 | Val Top5: 0.6955 | LR: 9.87e-04 | Train Time: 321.019s | Val Time: 16.928s | Epoch Time: 337.947s
Epoch [12/60] | Train Loss: 4.0691 | Train Top1: 0.2393 | Train Top5: 0.3970 | Val Loss: 3.0997 | Val Top1: 0.4602 | Val Top5: 0.7207 | LR: 9.79e-04 | Train Time: 324.372s | Val Time: 16.875s | Epoch Time: 341.247s
Epoch [13/60] | Train Loss: 3.9742 | Train Top1: 0.2614 | Train Top5: 0.4241 | Val Loss: 3.0655 | Val Top1: 0.4712 | Val Top5: 0.7267 | LR: 9.70e-04 | Train Time: 321.511s | Val Time: 16.913s | Epoch Time: 338.424s
Epoch [14/60] | Train Loss: 3.8697 | Train Top1: 0.2629 | Train Top5: 0.4212 | Val Loss: 3.0276 | Val Top1: 0.4777 | Val Top5: 0.7349 | LR: 9.59e-04 | Train Time: 320.711s | Val Time: 16.915s | Epoch Time: 337.626s
Epoch [15/60] | Train Loss: 3.7637 | Train Top1: 0.2770 | Train Top5: 0.4381 | Val Loss: 2.9377 | Val Top1: 0.4981 | Val Top5: 0.7503 | LR: 9.47e-04 | Train Time: 320.692s | Val Time: 16.896s | Epoch Time: 337.588s
Epoch [16/60] | Train Loss: 3.7454 | Train Top1: 0.2842 | Train Top5: 0.4384 | Val Loss: 2.8848 | Val Top1: 0.5074 | Val Top5: 0.7547 | LR: 9.33e-04 | Train Time: 320.826s | Val Time: 16.940s | Epoch Time: 337.767s
Epoch [17/60] | Train Loss: 3.6518 | Train Top1: 0.3126 | Train Top5: 0.4714 | Val Loss: 2.8207 | Val Top1: 0.5323 | Val Top5: 0.7694 | LR: 9.18e-04 | Train Time: 320.766s | Val Time: 16.921s | Epoch Time: 337.687s
Epoch [18/60] | Train Loss: 3.5773 | Train Top1: 0.3020 | Train Top5: 0.4557 | Val Loss: 2.8225 | Val Top1: 0.5285 | Val Top5: 0.7679 | LR: 9.01e-04 | Train Time: 320.752s | Val Time: 16.947s | Epoch Time: 337.698s
Epoch [19/60] | Train Loss: 3.5901 | Train Top1: 0.3222 | Train Top5: 0.4840 | Val Loss: 2.7930 | Val Top1: 0.5304 | Val Top5: 0.7757 | LR: 8.83e-04 | Train Time: 320.798s | Val Time: 16.902s | Epoch Time: 337.699s
Epoch [20/60] | Train Loss: 3.5165 | Train Top1: 0.3279 | Train Top5: 0.4802 | Val Loss: 2.7746 | Val Top1: 0.5455 | Val Top5: 0.7821 | LR: 8.64e-04 | Train Time: 320.764s | Val Time: 16.939s | Epoch Time: 337.703s
Epoch [21/60] | Train Loss: 3.4289 | Train Top1: 0.3423 | Train Top5: 0.4966 | Val Loss: 2.7500 | Val Top1: 0.5441 | Val Top5: 0.7838 | LR: 8.43e-04 | Train Time: 321.470s | Val Time: 16.940s | Epoch Time: 338.410s
Epoch [22/60] | Train Loss: 3.3397 | Train Top1: 0.3583 | Train Top5: 0.5144 | Val Loss: 2.7097 | Val Top1: 0.5595 | Val Top5: 0.7875 | LR: 8.21e-04 | Train Time: 330.275s | Val Time: 17.483s | Epoch Time: 347.758s
Epoch [23/60] | Train Loss: 3.2798 | Train Top1: 0.3590 | Train Top5: 0.5044 | Val Loss: 2.6998 | Val Top1: 0.5636 | Val Top5: 0.7963 | LR: 7.99e-04 | Train Time: 332.995s | Val Time: 19.272s | Epoch Time: 352.267s
Epoch [24/60] | Train Loss: 3.1817 | Train Top1: 0.3743 | Train Top5: 0.5166 | Val Loss: 2.6696 | Val Top1: 0.5740 | Val Top5: 0.7987 | LR: 7.75e-04 | Train Time: 358.756s | Val Time: 18.073s | Epoch Time: 376.829s
