Device: cuda
Num classes: 657
Model: convnext_base.fb_in22k_ft_in1k

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.05
Label Smoothing: 0.1
Dropout Rate: 0.2
Early Stopping Patience: 10
Scheduler: CosineAnnealingLR (T_max=40, eta_min=1e-6)
Warmup Epochs: 3
Mixup Alpha: 0.2
CutMix Alpha: 1.0
Resume From: /content/drive/MyDrive/CS273P_Project/outputs/output_20260309_025748/checkpoints/convnext_base.fb_in22k_ft_in1k_best.pth

Epoch [1/40] | Train Loss: 1.9445 | Train Top1: 0.5600 | Train Top5: 0.7273 | Val Loss: 1.6971 | Val Top1: 0.8273 | Val Top5: 0.9463 | LR: 5.00e-07 | Train Time: 422.065s | Val Time: 37.918s | Epoch Time: 459.984s
Epoch [2/40] | Train Loss: 1.8530 | Train Top1: 0.5738 | Train Top5: 0.7521 | Val Loss: 1.6648 | Val Top1: 0.8283 | Val Top5: 0.9486 | LR: 1.70e-05 | Train Time: 328.881s | Val Time: 24.477s | Epoch Time: 353.358s
Epoch [3/40] | Train Loss: 1.8100 | Train Top1: 0.5779 | Train Top5: 0.7623 | Val Loss: 1.6737 | Val Top1: 0.8301 | Val Top5: 0.9458 | LR: 3.35e-05 | Train Time: 329.310s | Val Time: 24.990s | Epoch Time: 354.300s
Epoch [4/40] | Train Loss: 1.8396 | Train Top1: 0.5719 | Train Top5: 0.7786 | Val Loss: 1.6758 | Val Top1: 0.8278 | Val Top5: 0.9476 | LR: 5.00e-05 | Train Time: 329.132s | Val Time: 24.402s | Epoch Time: 353.534s
Epoch [5/40] | Train Loss: 1.8482 | Train Top1: 0.5955 | Train Top5: 0.8042 | Val Loss: 1.6741 | Val Top1: 0.8277 | Val Top5: 0.9475 | LR: 4.99e-05 | Train Time: 330.077s | Val Time: 24.540s | Epoch Time: 354.617s
Epoch [6/40] | Train Loss: 1.7789 | Train Top1: 0.6258 | Train Top5: 0.8061 | Val Loss: 1.6783 | Val Top1: 0.8317 | Val Top5: 0.9467 | LR: 4.96e-05 | Train Time: 329.423s | Val Time: 24.165s | Epoch Time: 353.588s
Epoch [7/40] | Train Loss: 1.7741 | Train Top1: 0.6058 | Train Top5: 0.7927 | Val Loss: 1.6823 | Val Top1: 0.8315 | Val Top5: 0.9457 | LR: 4.92e-05 | Train Time: 329.848s | Val Time: 24.926s | Epoch Time: 354.774s
Epoch [8/40] | Train Loss: 1.8163 | Train Top1: 0.5974 | Train Top5: 0.8017 | Val Loss: 1.6849 | Val Top1: 0.8291 | Val Top5: 0.9468 | LR: 4.86e-05 | Train Time: 328.866s | Val Time: 24.435s | Epoch Time: 353.301s
Epoch [9/40] | Train Loss: 1.7753 | Train Top1: 0.5647 | Train Top5: 0.7658 | Val Loss: 1.6873 | Val Top1: 0.8275 | Val Top5: 0.9443 | LR: 4.78e-05 | Train Time: 328.899s | Val Time: 25.311s | Epoch Time: 354.210s
Epoch [10/40] | Train Loss: 1.7844 | Train Top1: 0.5638 | Train Top5: 0.7745 | Val Loss: 1.6864 | Val Top1: 0.8305 | Val Top5: 0.9454 | LR: 4.69e-05 | Train Time: 328.937s | Val Time: 24.465s | Epoch Time: 353.402s
Epoch [11/40] | Train Loss: 1.7399 | Train Top1: 0.5613 | Train Top5: 0.7673 | Val Loss: 1.6816 | Val Top1: 0.8291 | Val Top5: 0.9475 | LR: 4.58e-05 | Train Time: 329.341s | Val Time: 25.218s | Epoch Time: 354.560s
