Device: cuda
Num classes: 657
Model: vit_base

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.01
Label Smoothing: 0.05
Dropout Rate: 0.2
Early Stopping Patience: 12
Scheduler: OneCycleLR (max_lr=0.0007, pct_start=0.1)
Mixup Alpha: 0.2
CutMix Alpha: 0.5

Epoch [1/72] | Train Loss: 5.6017 | Train Top1: 0.0725 | Train Top5: 0.1750 | Val Loss: 4.1152 | Val Top1: 0.2907 | Val Top5: 0.5851 | LR: 2.80e-05 | Train Time: 375.622s | Val Time: 19.649s | Epoch Time: 395.270s
Epoch [2/72] | Train Loss: 4.2067 | Train Top1: 0.1839 | Train Top5: 0.3448 | Val Loss: 3.0383 | Val Top1: 0.4265 | Val Top5: 0.7116 | LR: 5.95e-05 | Train Time: 371.640s | Val Time: 19.596s | Epoch Time: 391.236s
Epoch [3/72] | Train Loss: 3.8259 | Train Top1: 0.2288 | Train Top5: 0.3983 | Val Loss: 2.8388 | Val Top1: 0.4434 | Val Top5: 0.7143 | LR: 1.48e-04 | Train Time: 370.973s | Val Time: 18.627s | Epoch Time: 389.599s
Epoch [4/72] | Train Loss: 3.8630 | Train Top1: 0.2193 | Train Top5: 0.3833 | Val Loss: 3.0003 | Val Top1: 0.4013 | Val Top5: 0.6799 | LR: 2.77e-04 | Train Time: 358.471s | Val Time: 17.128s | Epoch Time: 375.599s
Epoch [5/72] | Train Loss: 3.9296 | Train Top1: 0.2162 | Train Top5: 0.3841 | Val Loss: 3.0821 | Val Top1: 0.3868 | Val Top5: 0.6667 | LR: 4.22e-04 | Train Time: 352.503s | Val Time: 19.609s | Epoch Time: 372.112s
Epoch [6/72] | Train Loss: 3.9554 | Train Top1: 0.2143 | Train Top5: 0.3787 | Val Loss: 3.0408 | Val Top1: 0.4011 | Val Top5: 0.6678 | LR: 5.57e-04 | Train Time: 360.759s | Val Time: 19.637s | Epoch Time: 380.396s
Epoch [7/72] | Train Loss: 3.9110 | Train Top1: 0.2177 | Train Top5: 0.3765 | Val Loss: 2.9068 | Val Top1: 0.4329 | Val Top5: 0.6927 | LR: 6.55e-04 | Train Time: 372.977s | Val Time: 19.754s | Epoch Time: 392.731s
Epoch [8/72] | Train Loss: 3.7518 | Train Top1: 0.2442 | Train Top5: 0.4057 | Val Loss: 2.9316 | Val Top1: 0.4261 | Val Top5: 0.6827 | LR: 6.99e-04 | Train Time: 372.604s | Val Time: 19.767s | Epoch Time: 392.372s
Epoch [9/72] | Train Loss: 3.6789 | Train Top1: 0.2335 | Train Top5: 0.3872 | Val Loss: 2.7702 | Val Top1: 0.4577 | Val Top5: 0.7181 | LR: 7.00e-04 | Train Time: 350.500s | Val Time: 18.510s | Epoch Time: 369.010s
Epoch [10/72] | Train Loss: 3.5632 | Train Top1: 0.2722 | Train Top5: 0.4358 | Val Loss: 2.6814 | Val Top1: 0.4794 | Val Top5: 0.7304 | LR: 6.99e-04 | Train Time: 350.210s | Val Time: 18.538s | Epoch Time: 368.748s
Epoch [11/72] | Train Loss: 3.4091 | Train Top1: 0.2885 | Train Top5: 0.4461 | Val Loss: 2.6338 | Val Top1: 0.4902 | Val Top5: 0.7411 | LR: 6.97e-04 | Train Time: 351.540s | Val Time: 17.317s | Epoch Time: 368.857s
Epoch [12/72] | Train Loss: 3.3711 | Train Top1: 0.3011 | Train Top5: 0.4577 | Val Loss: 2.5542 | Val Top1: 0.5090 | Val Top5: 0.7598 | LR: 6.94e-04 | Train Time: 321.326s | Val Time: 17.047s | Epoch Time: 338.374s
Epoch [13/72] | Train Loss: 3.2149 | Train Top1: 0.3195 | Train Top5: 0.4747 | Val Loss: 2.5657 | Val Top1: 0.5107 | Val Top5: 0.7546 | LR: 6.91e-04 | Train Time: 321.484s | Val Time: 16.974s | Epoch Time: 338.458s
