Device: cuda
Num classes: 657
Model: convnext_base.fb_in22k_ft_in1k

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.05
Label Smoothing: 0.1
Dropout Rate: 0.3
Early Stopping Patience: 10
Scheduler: OneCycleLR (max_lr=0.0002, pct_start=0.1)
Mixup Alpha: 0.2
CutMix Alpha: 1.0

Epoch [1/60] | Train Loss: 6.4582 | Train Top1: 0.0045 | Train Top5: 0.0183 | Val Loss: 6.0481 | Val Top1: 0.0622 | Val Top5: 0.1625 | LR: 8.00e-06 | Train Time: 327.214s | Val Time: 30.180s | Epoch Time: 357.394s
Epoch [2/60] | Train Loss: 5.0330 | Train Top1: 0.1235 | Train Top5: 0.2585 | Val Loss: 3.1321 | Val Top1: 0.5300 | Val Top5: 0.8243 | LR: 2.09e-05 | Train Time: 243.333s | Val Time: 17.736s | Epoch Time: 261.069s
Epoch [3/60] | Train Loss: 3.4609 | Train Top1: 0.3328 | Train Top5: 0.5343 | Val Loss: 2.1801 | Val Top1: 0.6837 | Val Top5: 0.9016 | LR: 5.61e-05 | Train Time: 246.431s | Val Time: 17.749s | Epoch Time: 264.180s
Epoch [4/60] | Train Loss: 2.9870 | Train Top1: 0.3630 | Train Top5: 0.5501 | Val Loss: 1.9591 | Val Top1: 0.7312 | Val Top5: 0.9203 | LR: 1.04e-04 | Train Time: 249.795s | Val Time: 17.736s | Epoch Time: 267.532s
Epoch [5/60] | Train Loss: 2.7512 | Train Top1: 0.4191 | Train Top5: 0.6043 | Val Loss: 1.8564 | Val Top1: 0.7568 | Val Top5: 0.9281 | LR: 1.52e-04 | Train Time: 249.174s | Val Time: 17.558s | Epoch Time: 266.732s
Epoch [6/60] | Train Loss: 2.6353 | Train Top1: 0.4368 | Train Top5: 0.6239 | Val Loss: 1.8049 | Val Top1: 0.7690 | Val Top5: 0.9345 | LR: 1.87e-04 | Train Time: 245.663s | Val Time: 17.630s | Epoch Time: 263.293s
Epoch [7/60] | Train Loss: 2.5449 | Train Top1: 0.4560 | Train Top5: 0.6495 | Val Loss: 1.7577 | Val Top1: 0.7897 | Val Top5: 0.9354 | LR: 2.00e-04 | Train Time: 244.473s | Val Time: 17.462s | Epoch Time: 261.935s
Epoch [8/60] | Train Loss: 2.3788 | Train Top1: 0.5232 | Train Top5: 0.7104 | Val Loss: 1.7466 | Val Top1: 0.7904 | Val Top5: 0.9386 | LR: 2.00e-04 | Train Time: 243.813s | Val Time: 17.615s | Epoch Time: 261.428s
Epoch [9/60] | Train Loss: 2.3893 | Train Top1: 0.4944 | Train Top5: 0.6966 | Val Loss: 1.7223 | Val Top1: 0.8038 | Val Top5: 0.9421 | LR: 1.99e-04 | Train Time: 247.601s | Val Time: 17.586s | Epoch Time: 265.188s
Epoch [10/60] | Train Loss: 2.2721 | Train Top1: 0.5448 | Train Top5: 0.7286 | Val Loss: 1.7280 | Val Top1: 0.8001 | Val Top5: 0.9393 | LR: 1.98e-04 | Train Time: 245.421s | Val Time: 17.639s | Epoch Time: 263.060s
Epoch [11/60] | Train Loss: 2.2148 | Train Top1: 0.5425 | Train Top5: 0.7288 | Val Loss: 1.7306 | Val Top1: 0.8000 | Val Top5: 0.9411 | LR: 1.97e-04 | Train Time: 245.516s | Val Time: 17.568s | Epoch Time: 263.083s
Epoch [12/60] | Train Loss: 2.1637 | Train Top1: 0.5748 | Train Top5: 0.7541 | Val Loss: 1.7206 | Val Top1: 0.8044 | Val Top5: 0.9409 | LR: 1.96e-04 | Train Time: 246.023s | Val Time: 17.642s | Epoch Time: 263.665s
Epoch [13/60] | Train Loss: 2.1615 | Train Top1: 0.5731 | Train Top5: 0.7608 | Val Loss: 1.7153 | Val Top1: 0.8047 | Val Top5: 0.9424 | LR: 1.94e-04 | Train Time: 243.941s | Val Time: 17.484s | Epoch Time: 261.425s
Epoch [14/60] | Train Loss: 2.0457 | Train Top1: 0.5334 | Train Top5: 0.6997 | Val Loss: 1.7236 | Val Top1: 0.8072 | Val Top5: 0.9432 | LR: 1.92e-04 | Train Time: 244.302s | Val Time: 17.769s | Epoch Time: 262.071s
Epoch [15/60] | Train Loss: 2.1737 | Train Top1: 0.5382 | Train Top5: 0.7371 | Val Loss: 1.7176 | Val Top1: 0.8063 | Val Top5: 0.9417 | LR: 1.89e-04 | Train Time: 249.262s | Val Time: 17.539s | Epoch Time: 266.801s
Epoch [16/60] | Train Loss: 2.0353 | Train Top1: 0.5551 | Train Top5: 0.7414 | Val Loss: 1.7162 | Val Top1: 0.8062 | Val Top5: 0.9413 | LR: 1.87e-04 | Train Time: 242.800s | Val Time: 17.471s | Epoch Time: 260.271s
