Device: cuda
Num classes: 657
Model: eva02_base_patch14_448.mim_in22k_ft_in1k

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.05
Label Smoothing: 0.1
Dropout Rate: 0.1
Early Stopping Patience: 10
Scheduler: CosineAnnealingLR (T_max=40, eta_min=1e-6)
Warmup Epochs: 3
Mixup Alpha: 0.1
CutMix Alpha: 0.5

Epoch [1/40] | Train Loss: 6.4704 | Train Top1: 0.1242 | Train Top5: 0.2858 | Val Loss: 6.4422 | Val Top1: 0.2985 | Val Top5: 0.6361 | LR: 5.00e-07 | Train Time: 475.498s | Val Time: 32.560s | Epoch Time: 508.058s
Epoch [2/40] | Train Loss: 5.7080 | Train Top1: 0.0712 | Train Top5: 0.2220 | Val Loss: 4.7526 | Val Top1: 0.1841 | Val Top5: 0.5395 | LR: 1.70e-05 | Train Time: 468.078s | Val Time: 32.816s | Epoch Time: 500.894s
Epoch [3/40] | Train Loss: 4.3796 | Train Top1: 0.1335 | Train Top5: 0.3630 | Val Loss: 3.3354 | Val Top1: 0.3439 | Val Top5: 0.7501 | LR: 3.35e-05 | Train Time: 468.177s | Val Time: 32.549s | Epoch Time: 500.727s
Epoch [4/40] | Train Loss: 3.5889 | Train Top1: 0.2258 | Train Top5: 0.4653 | Val Loss: 2.5924 | Val Top1: 0.5215 | Val Top5: 0.8667 | LR: 5.00e-05 | Train Time: 468.444s | Val Time: 32.228s | Epoch Time: 500.672s
Epoch [5/40] | Train Loss: 3.0698 | Train Top1: 0.3174 | Train Top5: 0.5229 | Val Loss: 2.1922 | Val Top1: 0.6496 | Val Top5: 0.9068 | LR: 4.99e-05 | Train Time: 468.265s | Val Time: 32.197s | Epoch Time: 500.462s
Epoch [6/40] | Train Loss: 2.7340 | Train Top1: 0.3696 | Train Top5: 0.5527 | Val Loss: 1.9511 | Val Top1: 0.7228 | Val Top5: 0.9237 | LR: 4.96e-05 | Train Time: 469.111s | Val Time: 32.145s | Epoch Time: 501.256s
Epoch [7/40] | Train Loss: 2.5212 | Train Top1: 0.4299 | Train Top5: 0.6027 | Val Loss: 1.8329 | Val Top1: 0.7579 | Val Top5: 0.9304 | LR: 4.92e-05 | Train Time: 468.553s | Val Time: 32.009s | Epoch Time: 500.562s
Epoch [8/40] | Train Loss: 2.3639 | Train Top1: 0.4101 | Train Top5: 0.5679 | Val Loss: 1.7632 | Val Top1: 0.7775 | Val Top5: 0.9365 | LR: 4.86e-05 | Train Time: 469.561s | Val Time: 32.799s | Epoch Time: 502.360s
Epoch [9/40] | Train Loss: 2.2616 | Train Top1: 0.4811 | Train Top5: 0.6387 | Val Loss: 1.7373 | Val Top1: 0.7824 | Val Top5: 0.9379 | LR: 4.78e-05 | Train Time: 469.183s | Val Time: 32.678s | Epoch Time: 501.861s
Epoch [10/40] | Train Loss: 2.1822 | Train Top1: 0.4842 | Train Top5: 0.6354 | Val Loss: 1.7124 | Val Top1: 0.7950 | Val Top5: 0.9399 | LR: 4.69e-05 | Train Time: 469.012s | Val Time: 32.440s | Epoch Time: 501.452s
Epoch [11/40] | Train Loss: 2.1183 | Train Top1: 0.4855 | Train Top5: 0.6324 | Val Loss: 1.6900 | Val Top1: 0.8015 | Val Top5: 0.9415 | LR: 4.58e-05 | Train Time: 468.317s | Val Time: 32.613s | Epoch Time: 500.930s
Epoch [12/40] | Train Loss: 2.0410 | Train Top1: 0.4944 | Train Top5: 0.6372 | Val Loss: 1.7002 | Val Top1: 0.8025 | Val Top5: 0.9421 | LR: 4.46e-05 | Train Time: 469.255s | Val Time: 32.444s | Epoch Time: 501.698s
Epoch [13/40] | Train Loss: 2.0259 | Train Top1: 0.5454 | Train Top5: 0.6940 | Val Loss: 1.6776 | Val Top1: 0.8129 | Val Top5: 0.9438 | LR: 4.32e-05 | Train Time: 468.596s | Val Time: 33.063s | Epoch Time: 501.659s
