Using device: mps
Number of classes: 657
Train batches: 1827
Val batches: 203

===== Epoch 1/20 =====
  Train Batch [50/1827] | Loss: 6.4624 | Top1: 0.0069 | Top5: 0.0275
  Train Batch [100/1827] | Loss: 6.3491 | Top1: 0.0119 | Top5: 0.0413
  Train Batch [150/1827] | Loss: 6.1024 | Top1: 0.0217 | Top5: 0.0708
  Train Batch [200/1827] | Loss: 5.8374 | Top1: 0.0348 | Top5: 0.1037
  Train Batch [250/1827] | Loss: 5.5837 | Top1: 0.0488 | Top5: 0.1399
  Train Batch [300/1827] | Loss: 5.3574 | Top1: 0.0644 | Top5: 0.1757
  Train Batch [350/1827] | Loss: 5.1543 | Top1: 0.0803 | Top5: 0.2085
  Train Batch [400/1827] | Loss: 4.9778 | Top1: 0.0958 | Top5: 0.2386
  Train Batch [450/1827] | Loss: 4.8218 | Top1: 0.1108 | Top5: 0.2669
  Train Batch [500/1827] | Loss: 4.6819 | Top1: 0.1245 | Top5: 0.2923
  Train Batch [550/1827] | Loss: 4.5625 | Top1: 0.1369 | Top5: 0.3136
  Train Batch [600/1827] | Loss: 4.4526 | Top1: 0.1487 | Top5: 0.3323
  Train Batch [650/1827] | Loss: 4.3511 | Top1: 0.1595 | Top5: 0.3507
  Train Batch [700/1827] | Loss: 4.2546 | Top1: 0.1703 | Top5: 0.3676
  Train Batch [750/1827] | Loss: 4.1719 | Top1: 0.1798 | Top5: 0.3842
  Train Batch [800/1827] | Loss: 4.0954 | Top1: 0.1892 | Top5: 0.3986
  Train Batch [850/1827] | Loss: 4.0230 | Top1: 0.1981 | Top5: 0.4124
  Train Batch [900/1827] | Loss: 3.9548 | Top1: 0.2068 | Top5: 0.4255
  Train Batch [950/1827] | Loss: 3.8908 | Top1: 0.2154 | Top5: 0.4381
  Train Batch [1000/1827] | Loss: 3.8287 | Top1: 0.2233 | Top5: 0.4497
  Train Batch [1050/1827] | Loss: 3.7768 | Top1: 0.2312 | Top5: 0.4601
  Train Batch [1100/1827] | Loss: 3.7243 | Top1: 0.2381 | Top5: 0.4695
  Train Batch [1150/1827] | Loss: 3.6731 | Top1: 0.2456 | Top5: 0.4795
  Train Batch [1200/1827] | Loss: 3.6239 | Top1: 0.2524 | Top5: 0.4887
  Train Batch [1250/1827] | Loss: 3.5774 | Top1: 0.2589 | Top5: 0.4975
  Train Batch [1300/1827] | Loss: 3.5339 | Top1: 0.2645 | Top5: 0.5061
  Train Batch [1350/1827] | Loss: 3.4925 | Top1: 0.2703 | Top5: 0.5135
  Train Batch [1400/1827] | Loss: 3.4555 | Top1: 0.2765 | Top5: 0.5206
  Train Batch [1450/1827] | Loss: 3.4200 | Top1: 0.2816 | Top5: 0.5278
  Train Batch [1500/1827] | Loss: 3.3840 | Top1: 0.2870 | Top5: 0.5339
  Train Batch [1550/1827] | Loss: 3.3519 | Top1: 0.2920 | Top5: 0.5398
  Train Batch [1600/1827] | Loss: 3.3178 | Top1: 0.2974 | Top5: 0.5463
  Train Batch [1650/1827] | Loss: 3.2878 | Top1: 0.3023 | Top5: 0.5523
  Train Batch [1700/1827] | Loss: 3.2609 | Top1: 0.3059 | Top5: 0.5571
  Train Batch [1750/1827] | Loss: 3.2326 | Top1: 0.3107 | Top5: 0.5621
  Train Batch [1800/1827] | Loss: 3.2047 | Top1: 0.3152 | Top5: 0.5670
  Train Batch [1827/1827] | Loss: 3.1919 | Top1: 0.3170 | Top5: 0.5693
  Val Batch [50/203] | Loss: 2.1167 | Top1: 0.4906 | Top5: 0.7669
  Val Batch [100/203] | Loss: 2.0673 | Top1: 0.5000 | Top5: 0.7822
  Val Batch [150/203] | Loss: 2.0872 | Top1: 0.4919 | Top5: 0.7762
  Val Batch [200/203] | Loss: 2.1011 | Top1: 0.4886 | Top5: 0.7764
  Val Batch [203/203] | Loss: 2.1029 | Top1: 0.4876 | Top5: 0.7758
Epoch [1/20] | Train Loss: 3.1919 | Train Top1: 0.3170 | Train Top5: 0.5693 | Val Loss: 2.1029 | Val Top1: 0.4876 | Val Top5: 0.7758

===== Epoch 2/20 =====
  Train Batch [50/1827] | Loss: 1.7868 | Top1: 0.5444 | Top5: 0.8244
  Train Batch [100/1827] | Loss: 1.8244 | Top1: 0.5450 | Top5: 0.8137
  Train Batch [150/1827] | Loss: 1.8145 | Top1: 0.5517 | Top5: 0.8123
  Train Batch [200/1827] | Loss: 1.7896 | Top1: 0.5556 | Top5: 0.8170
  Train Batch [250/1827] | Loss: 1.7862 | Top1: 0.5569 | Top5: 0.8171
  Train Batch [300/1827] | Loss: 1.7920 | Top1: 0.5551 | Top5: 0.8164
  Train Batch [350/1827] | Loss: 1.7909 | Top1: 0.5552 | Top5: 0.8164
  Train Batch [400/1827] | Loss: 1.7991 | Top1: 0.5544 | Top5: 0.8155
  Train Batch [450/1827] | Loss: 1.7967 | Top1: 0.5565 | Top5: 0.8156
  Train Batch [500/1827] | Loss: 1.7922 | Top1: 0.5575 | Top5: 0.8160
  Train Batch [550/1827] | Loss: 1.7952 | Top1: 0.5576 | Top5: 0.8155
  Train Batch [600/1827] | Loss: 1.7942 | Top1: 0.5585 | Top5: 0.8158
  Train Batch [650/1827] | Loss: 1.7888 | Top1: 0.5589 | Top5: 0.8164
  Train Batch [700/1827] | Loss: 1.7879 | Top1: 0.5602 | Top5: 0.8160
