Device: mps
Num classes: 657
Model: resnet50

Epoch [1/20] | Train Loss: 3.1919 | Train Top1: 0.3170 | Train Top5: 0.5693 | Val Loss: 2.1029 | Val Top1: 0.4876 | Val Top5: 0.7758
Epoch [2/20] | Train Loss: 1.7350 | Train Top1: 0.5705 | Train Top5: 0.8217 | Val Loss: 1.7798 | Val Top1: 0.5729 | Val Top5: 0.8202
Epoch [3/20] | Train Loss: 1.3089 | Train Top1: 0.6625 | Train Top5: 0.8846 | Val Loss: 1.7018 | Val Top1: 0.6018 | Val Top5: 0.8315
Epoch [4/20] | Train Loss: 1.0210 | Train Top1: 0.7276 | Train Top5: 0.9216 | Val Loss: 1.6086 | Val Top1: 0.6261 | Val Top5: 0.8488
Epoch [5/20] | Train Loss: 0.8076 | Train Top1: 0.7778 | Train Top5: 0.9476 | Val Loss: 1.6690 | Val Top1: 0.6255 | Val Top5: 0.8503
Epoch [6/20] | Train Loss: 0.6399 | Train Top1: 0.8184 | Train Top5: 0.9674 | Val Loss: 1.7366 | Val Top1: 0.6272 | Val Top5: 0.8537
Epoch [7/20] | Train Loss: 0.5171 | Train Top1: 0.8522 | Train Top5: 0.9786 | Val Loss: 1.7734 | Val Top1: 0.6249 | Val Top5: 0.8483
Epoch [8/20] | Train Loss: 0.4303 | Train Top1: 0.8757 | Train Top5: 0.9864 | Val Loss: 1.7526 | Val Top1: 0.6368 | Val Top5: 0.8480
Epoch [9/20] | Train Loss: 0.3647 | Train Top1: 0.8935 | Train Top5: 0.9906 | Val Loss: 1.8524 | Val Top1: 0.6366 | Val Top5: 0.8465
Epoch [10/20] | Train Loss: 0.3131 | Train Top1: 0.9094 | Train Top5: 0.9937 | Val Loss: 1.8806 | Val Top1: 0.6369 | Val Top5: 0.8451
Epoch [11/20] | Train Loss: 0.2780 | Train Top1: 0.9207 | Train Top5: 0.9953 | Val Loss: 1.8721 | Val Top1: 0.6439 | Val Top5: 0.8477
Epoch [12/20] | Train Loss: 0.2553 | Train Top1: 0.9265 | Train Top5: 0.9960 | Val Loss: 1.8830 | Val Top1: 0.6423 | Val Top5: 0.8469
Epoch [13/20] | Train Loss: 0.2280 | Train Top1: 0.9365 | Train Top5: 0.9970 | Val Loss: 1.8997 | Val Top1: 0.6471 | Val Top5: 0.8517
Epoch [14/20] | Train Loss: 0.2170 | Train Top1: 0.9385 | Train Top5: 0.9971 | Val Loss: 1.9737 | Val Top1: 0.6334 | Val Top5: 0.8442
Epoch [15/20] | Train Loss: 0.1936 | Train Top1: 0.9456 | Train Top5: 0.9976 | Val Loss: 1.9554 | Val Top1: 0.6501 | Val Top5: 0.8449
Epoch [16/20] | Train Loss: 0.1841 | Train Top1: 0.9489 | Train Top5: 0.9979 | Val Loss: 2.0192 | Val Top1: 0.6430 | Val Top5: 0.8440
Epoch [17/20] | Train Loss: 0.1777 | Train Top1: 0.9510 | Train Top5: 0.9982 | Val Loss: 1.9868 | Val Top1: 0.6480 | Val Top5: 0.8463
