Device: cuda
Num classes: 657
Model: resnet50

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.02
Label Smoothing: 0.1
Dropout Rate: 0.4
Early Stopping Patience: 10
Scheduler: CosineAnnealingLR (T_max=60, eta_min=1e-6)
Warmup Epochs: 3
Mixup Alpha: 0.2
CutMix Alpha: 1.0

Epoch [1/60] | Train Loss: 6.4924 | Train Top1: 0.0019 | Train Top5: 0.0091 | Val Loss: 6.4760 | Val Top1: 0.0026 | Val Top5: 0.0116 | LR: 3.00e-06 | Train Time: 222.107s | Val Time: 28.869s | Epoch Time: 250.975s
Epoch [2/60] | Train Loss: 5.2219 | Train Top1: 0.0944 | Train Top5: 0.2178 | Val Loss: 3.3589 | Val Top1: 0.4113 | Val Top5: 0.7200 | LR: 1.02e-04 | Train Time: 171.232s | Val Time: 10.488s | Epoch Time: 181.720s
Epoch [3/60] | Train Loss: 4.1153 | Train Top1: 0.2131 | Train Top5: 0.3973 | Val Loss: 2.8352 | Val Top1: 0.5153 | Val Top5: 0.8006 | LR: 2.01e-04 | Train Time: 171.672s | Val Time: 10.372s | Epoch Time: 182.045s
Epoch [4/60] | Train Loss: 3.8009 | Train Top1: 0.2597 | Train Top5: 0.4435 | Val Loss: 2.6930 | Val Top1: 0.5573 | Val Top5: 0.8271 | LR: 3.00e-04 | Train Time: 170.844s | Val Time: 10.363s | Epoch Time: 181.207s
Epoch [5/60] | Train Loss: 3.5176 | Train Top1: 0.3080 | Train Top5: 0.4847 | Val Loss: 2.4903 | Val Top1: 0.6128 | Val Top5: 0.8507 | LR: 3.00e-04 | Train Time: 169.588s | Val Time: 10.479s | Epoch Time: 180.067s
Epoch [6/60] | Train Loss: 3.3578 | Train Top1: 0.3260 | Train Top5: 0.4949 | Val Loss: 2.4427 | Val Top1: 0.6228 | Val Top5: 0.8586 | LR: 2.99e-04 | Train Time: 170.633s | Val Time: 10.457s | Epoch Time: 181.090s
Epoch [7/60] | Train Loss: 3.2656 | Train Top1: 0.3701 | Train Top5: 0.5486 | Val Loss: 2.3425 | Val Top1: 0.6425 | Val Top5: 0.8664 | LR: 2.98e-04 | Train Time: 171.606s | Val Time: 10.612s | Epoch Time: 182.218s
Epoch [8/60] | Train Loss: 3.1545 | Train Top1: 0.3580 | Train Top5: 0.5200 | Val Loss: 2.3084 | Val Top1: 0.6533 | Val Top5: 0.8759 | LR: 2.96e-04 | Train Time: 171.926s | Val Time: 10.548s | Epoch Time: 182.474s
Epoch [9/60] | Train Loss: 3.0790 | Train Top1: 0.3865 | Train Top5: 0.5528 | Val Loss: 2.2956 | Val Top1: 0.6605 | Val Top5: 0.8740 | LR: 2.94e-04 | Train Time: 171.380s | Val Time: 10.452s | Epoch Time: 181.832s
Epoch [10/60] | Train Loss: 3.1057 | Train Top1: 0.3916 | Train Top5: 0.5613 | Val Loss: 2.2414 | Val Top1: 0.6686 | Val Top5: 0.8770 | LR: 2.92e-04 | Train Time: 170.170s | Val Time: 10.418s | Epoch Time: 180.588s
Epoch [11/60] | Train Loss: 3.0293 | Train Top1: 0.3976 | Train Top5: 0.5663 | Val Loss: 2.2175 | Val Top1: 0.6828 | Val Top5: 0.8830 | LR: 2.89e-04 | Train Time: 169.921s | Val Time: 10.394s | Epoch Time: 180.315s
