Device: cuda
Num classes: 657
Model: resnet50

AMP Enabled: True
Compile Enabled: False
CUDNN Benchmark: True
Freeze Backbone: False
Validation Interval: 1
Weight Decay: 0.02
Label Smoothing: 0.1
Dropout Rate: 0.4
Early Stopping Patience: 10
Scheduler: OneCycleLR (max_lr=0.001, pct_start=0.1)
Warmup Epochs: 3
Mixup Alpha: 0.2
CutMix Alpha: 1.0

Epoch [1/60] | Train Loss: 5.8386 | Train Top1: 0.0389 | Train Top5: 0.1055 | Val Loss: 4.0080 | Val Top1: 0.2828 | Val Top5: 0.5801 | LR: 4.00e-05 | Train Time: 222.939s | Val Time: 19.655s | Epoch Time: 242.594s
Epoch [2/60] | Train Loss: 4.4049 | Train Top1: 0.1842 | Train Top5: 0.3697 | Val Loss: 3.1385 | Val Top1: 0.4577 | Val Top5: 0.7551 | LR: 1.04e-04 | Train Time: 172.969s | Val Time: 10.368s | Epoch Time: 183.338s
Epoch [3/60] | Train Loss: 4.0408 | Train Top1: 0.2260 | Train Top5: 0.4093 | Val Loss: 3.1102 | Val Top1: 0.4439 | Val Top5: 0.7355 | LR: 2.80e-04 | Train Time: 172.089s | Val Time: 10.663s | Epoch Time: 182.752s
Epoch [4/60] | Train Loss: 3.9673 | Train Top1: 0.2358 | Train Top5: 0.4160 | Val Loss: 3.0772 | Val Top1: 0.4512 | Val Top5: 0.7396 | LR: 5.20e-04 | Train Time: 174.059s | Val Time: 10.749s | Epoch Time: 184.808s
Epoch [5/60] | Train Loss: 3.8739 | Train Top1: 0.2533 | Train Top5: 0.4283 | Val Loss: 2.9385 | Val Top1: 0.5025 | Val Top5: 0.7701 | LR: 7.60e-04 | Train Time: 172.727s | Val Time: 10.471s | Epoch Time: 183.197s
Epoch [6/60] | Train Loss: 3.7698 | Train Top1: 0.2624 | Train Top5: 0.4335 | Val Loss: 2.9202 | Val Top1: 0.5143 | Val Top5: 0.7743 | LR: 9.36e-04 | Train Time: 172.984s | Val Time: 10.427s | Epoch Time: 183.411s
Epoch [7/60] | Train Loss: 3.6679 | Train Top1: 0.3058 | Train Top5: 0.4854 | Val Loss: 2.7566 | Val Top1: 0.5444 | Val Top5: 0.7977 | LR: 1.00e-03 | Train Time: 173.594s | Val Time: 10.568s | Epoch Time: 184.162s
Epoch [8/60] | Train Loss: 3.5469 | Train Top1: 0.2985 | Train Top5: 0.4626 | Val Loss: 2.6247 | Val Top1: 0.5752 | Val Top5: 0.8180 | LR: 9.99e-04 | Train Time: 172.158s | Val Time: 10.436s | Epoch Time: 182.594s
Epoch [9/60] | Train Loss: 3.4580 | Train Top1: 0.3292 | Train Top5: 0.4948 | Val Loss: 2.6689 | Val Top1: 0.5771 | Val Top5: 0.8220 | LR: 9.97e-04 | Train Time: 172.102s | Val Time: 10.578s | Epoch Time: 182.680s
Epoch [10/60] | Train Loss: 3.4755 | Train Top1: 0.3358 | Train Top5: 0.5052 | Val Loss: 2.6204 | Val Top1: 0.5773 | Val Top5: 0.8196 | LR: 9.92e-04 | Train Time: 171.845s | Val Time: 10.542s | Epoch Time: 182.387s
Epoch [11/60] | Train Loss: 3.3895 | Train Top1: 0.3453 | Train Top5: 0.5128 | Val Loss: 2.4242 | Val Top1: 0.6315 | Val Top5: 0.8511 | LR: 9.87e-04 | Train Time: 173.931s | Val Time: 10.653s | Epoch Time: 184.584s
