TensorBoard log directory: /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Launch with: tensorboard --logdir /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Number of classes: 657
Train batches: 13801
Val batches: 2431
Unexpected keys (fc_norm.bias, fc_norm.weight) found while loading pretrained weights. This may be expected if model is being adapted.

===== Epoch 1/500 (LR: 2.00e-07) =====
  Train Batch [25/13801] | Loss: 19.4649 | Top1: 0.0000 | Top5: 0.0100
  Train Batch [50/13801] | Loss: 19.4666 | Top1: 0.0000 | Top5: 0.0050
  Train Batch [75/13801] | Loss: 19.4650 | Top1: 0.0000 | Top5: 0.0067
  Train Batch [100/13801] | Loss: 19.4649 | Top1: 0.0000 | Top5: 0.0050
  Train Batch [125/13801] | Loss: 19.4643 | Top1: 0.0000 | Top5: 0.0040
  Train Batch [150/13801] | Loss: 19.4630 | Top1: 0.0000 | Top5: 0.0067
  Train Batch [175/13801] | Loss: 19.4633 | Top1: 0.0000 | Top5: 0.0100
  Train Batch [200/13801] | Loss: 19.4634 | Top1: 0.0000 | Top5: 0.0100
  Train Batch [225/13801] | Loss: 19.4632 | Top1: 0.0000 | Top5: 0.0089
  Train Batch [250/13801] | Loss: 19.4629 | Top1: 0.0000 | Top5: 0.0090
  Train Batch [275/13801] | Loss: 19.4628 | Top1: 0.0000 | Top5: 0.0082
  Train Batch [300/13801] | Loss: 19.4630 | Top1: 0.0000 | Top5: 0.0075
  Train Batch [325/13801] | Loss: 19.4627 | Top1: 0.0000 | Top5: 0.0100
  Train Batch [350/13801] | Loss: 19.4627 | Top1: 0.0000 | Top5: 0.0093
  Train Batch [375/13801] | Loss: 19.4628 | Top1: 0.0007 | Top5: 0.0107
  Train Batch [400/13801] | Loss: 19.4627 | Top1: 0.0006 | Top5: 0.0106
  Train Batch [425/13801] | Loss: 19.4625 | Top1: 0.0006 | Top5: 0.0100
  Train Batch [450/13801] | Loss: 19.4627 | Top1: 0.0006 | Top5: 0.0094
  Train Batch [475/13801] | Loss: 19.4626 | Top1: 0.0005 | Top5: 0.0100
  Train Batch [500/13801] | Loss: 19.4628 | Top1: 0.0005 | Top5: 0.0095
  Train Batch [525/13801] | Loss: 19.4627 | Top1: 0.0010 | Top5: 0.0095
  Train Batch [550/13801] | Loss: 19.4626 | Top1: 0.0009 | Top5: 0.0095
  Train Batch [575/13801] | Loss: 19.4626 | Top1: 0.0009 | Top5: 0.0091
  Train Batch [600/13801] | Loss: 19.4625 | Top1: 0.0008 | Top5: 0.0096
  Train Batch [625/13801] | Loss: 19.4624 | Top1: 0.0008 | Top5: 0.0096
  Train Batch [650/13801] | Loss: 19.4625 | Top1: 0.0008 | Top5: 0.0096
  Train Batch [675/13801] | Loss: 19.4625 | Top1: 0.0007 | Top5: 0.0093
  Train Batch [700/13801] | Loss: 19.4625 | Top1: 0.0007 | Top5: 0.0089
  Train Batch [725/13801] | Loss: 19.4624 | Top1: 0.0007 | Top5: 0.0090
  Train Batch [750/13801] | Loss: 19.4626 | Top1: 0.0007 | Top5: 0.0087
  Train Batch [775/13801] | Loss: 19.4626 | Top1: 0.0006 | Top5: 0.0094
  Train Batch [800/13801] | Loss: 19.4625 | Top1: 0.0006 | Top5: 0.0100
  Train Batch [825/13801] | Loss: 19.4626 | Top1: 0.0009 | Top5: 0.0100
  Train Batch [850/13801] | Loss: 19.4625 | Top1: 0.0009 | Top5: 0.0100
  Train Batch [875/13801] | Loss: 19.4624 | Top1: 0.0009 | Top5: 0.0106
  Train Batch [900/13801] | Loss: 19.4624 | Top1: 0.0008 | Top5: 0.0108
  Train Batch [925/13801] | Loss: 19.4624 | Top1: 0.0008 | Top5: 0.0111
  Train Batch [950/13801] | Loss: 19.4625 | Top1: 0.0011 | Top5: 0.0111
  Train Batch [975/13801] | Loss: 19.4625 | Top1: 0.0010 | Top5: 0.0113
  Train Batch [1000/13801] | Loss: 19.4625 | Top1: 0.0010 | Top5: 0.0115
  Train Batch [1025/13801] | Loss: 19.4624 | Top1: 0.0010 | Top5: 0.0120
  Train Batch [1050/13801] | Loss: 19.4624 | Top1: 0.0010 | Top5: 0.0119
  Train Batch [1075/13801] | Loss: 19.4624 | Top1: 0.0009 | Top5: 0.0119
  Train Batch [1100/13801] | Loss: 19.4624 | Top1: 0.0009 | Top5: 0.0120
  Train Batch [1125/13801] | Loss: 19.4624 | Top1: 0.0011 | Top5: 0.0124
  Train Batch [1150/13801] | Loss: 19.4624 | Top1: 0.0011 | Top5: 0.0122
  Train Batch [1175/13801] | Loss: 19.4624 | Top1: 0.0013 | Top5: 0.0123
  Train Batch [1200/13801] | Loss: 19.4623 | Top1: 0.0013 | Top5: 0.0125
  Train Batch [1225/13801] | Loss: 19.4623 | Top1: 0.0012 | Top5: 0.0124
  Train Batch [1250/13801] | Loss: 19.4623 | Top1: 0.0012 | Top5: 0.0126
  Train Batch [1275/13801] | Loss: 19.4624 | Top1: 0.0012 | Top5: 0.0124
  Train Batch [1300/13801] | Loss: 19.4623 | Top1: 0.0012 | Top5: 0.0129
  Train Batch [1325/13801] | Loss: 19.4622 | Top1: 0.0011 | Top5: 0.0130
  Train Batch [1350/13801] | Loss: 19.4622 | Top1: 0.0011 | Top5: 0.0130
  Train Batch [1375/13801] | Loss: 19.4622 | Top1: 0.0011 | Top5: 0.0129
  Train Batch [1400/13801] | Loss: 19.4622 | Top1: 0.0013 | Top5: 0.0129
  Train Batch [1425/13801] | Loss: 19.4622 | Top1: 0.0014 | Top5: 0.0132
  Train Batch [1450/13801] | Loss: 19.4622 | Top1: 0.0014 | Top5: 0.0131
  Train Batch [1475/13801] | Loss: 19.4622 | Top1: 0.0014 | Top5: 0.0129
  Train Batch [1500/13801] | Loss: 19.4621 | Top1: 0.0013 | Top5: 0.0128
  Train Batch [1525/13801] | Loss: 19.4621 | Top1: 0.0013 | Top5: 0.0130
  Train Batch [1550/13801] | Loss: 19.4621 | Top1: 0.0013 | Top5: 0.0127
  Train Batch [1575/13801] | Loss: 19.4620 | Top1: 0.0013 | Top5: 0.0129
  Train Batch [1600/13801] | Loss: 19.4621 | Top1: 0.0013 | Top5: 0.0127
  Train Batch [1625/13801] | Loss: 19.4620 | Top1: 0.0014 | Top5: 0.0126
  Train Batch [1650/13801] | Loss: 19.4620 | Top1: 0.0015 | Top5: 0.0126
  Train Batch [1675/13801] | Loss: 19.4621 | Top1: 0.0015 | Top5: 0.0127
  Train Batch [1700/13801] | Loss: 19.4620 | Top1: 0.0015 | Top5: 0.0125
  Train Batch [1725/13801] | Loss: 19.4620 | Top1: 0.0014 | Top5: 0.0123
  Train Batch [1750/13801] | Loss: 19.4620 | Top1: 0.0014 | Top5: 0.0124
  Train Batch [1775/13801] | Loss: 19.4620 | Top1: 0.0014 | Top5: 0.0123
  Train Batch [1800/13801] | Loss: 19.4619 | Top1: 0.0014 | Top5: 0.0124
  Train Batch [1825/13801] | Loss: 19.4619 | Top1: 0.0014 | Top5: 0.0122
  Train Batch [1850/13801] | Loss: 19.4619 | Top1: 0.0014 | Top5: 0.0123
  Train Batch [1875/13801] | Loss: 19.4619 | Top1: 0.0013 | Top5: 0.0123
  Train Batch [1900/13801] | Loss: 19.4619 | Top1: 0.0013 | Top5: 0.0121
  Train Batch [1925/13801] | Loss: 19.4619 | Top1: 0.0013 | Top5: 0.0121
  Train Batch [1950/13801] | Loss: 19.4619 | Top1: 0.0014 | Top5: 0.0122
  Train Batch [1975/13801] | Loss: 19.4619 | Top1: 0.0014 | Top5: 0.0120
  Train Batch [2000/13801] | Loss: 19.4618 | Top1: 0.0014 | Top5: 0.0121
  Train Batch [2025/13801] | Loss: 19.4618 | Top1: 0.0014 | Top5: 0.0122
  Train Batch [2050/13801] | Loss: 19.4619 | Top1: 0.0013 | Top5: 0.0122
  Train Batch [2075/13801] | Loss: 19.4618 | Top1: 0.0014 | Top5: 0.0124
  Train Batch [2100/13801] | Loss: 19.4618 | Top1: 0.0014 | Top5: 0.0124
  Train Batch [2125/13801] | Loss: 19.4618 | Top1: 0.0014 | Top5: 0.0125
  Train Batch [2150/13801] | Loss: 19.4617 | Top1: 0.0015 | Top5: 0.0126
  Train Batch [2175/13801] | Loss: 19.4617 | Top1: 0.0015 | Top5: 0.0124
  Train Batch [2200/13801] | Loss: 19.4616 | Top1: 0.0016 | Top5: 0.0125
  Train Batch [2225/13801] | Loss: 19.4616 | Top1: 0.0016 | Top5: 0.0125
  Train Batch [2250/13801] | Loss: 19.4616 | Top1: 0.0016 | Top5: 0.0123
  Train Batch [2275/13801] | Loss: 19.4615 | Top1: 0.0015 | Top5: 0.0122
  Train Batch [2300/13801] | Loss: 19.4615 | Top1: 0.0016 | Top5: 0.0122
  Train Batch [2325/13801] | Loss: 19.4614 | Top1: 0.0016 | Top5: 0.0122
  Train Batch [2350/13801] | Loss: 19.4614 | Top1: 0.0017 | Top5: 0.0121
  Train Batch [2375/13801] | Loss: 19.4614 | Top1: 0.0017 | Top5: 0.0121
  Train Batch [2400/13801] | Loss: 19.4614 | Top1: 0.0017 | Top5: 0.0120
  Train Batch [2425/13801] | Loss: 19.4614 | Top1: 0.0016 | Top5: 0.0121
  Train Batch [2450/13801] | Loss: 19.4613 | Top1: 0.0017 | Top5: 0.0120
  Train Batch [2475/13801] | Loss: 19.4613 | Top1: 0.0017 | Top5: 0.0121
  Train Batch [2500/13801] | Loss: 19.4613 | Top1: 0.0017 | Top5: 0.0122
  Train Batch [2525/13801] | Loss: 19.4613 | Top1: 0.0017 | Top5: 0.0121
  Train Batch [2550/13801] | Loss: 19.4613 | Top1: 0.0018 | Top5: 0.0122
  Train Batch [2575/13801] | Loss: 19.4613 | Top1: 0.0018 | Top5: 0.0122
  Train Batch [2600/13801] | Loss: 19.4613 | Top1: 0.0018 | Top5: 0.0121
  Train Batch [2625/13801] | Loss: 19.4613 | Top1: 0.0018 | Top5: 0.0121
  Train Batch [2650/13801] | Loss: 19.4612 | Top1: 0.0018 | Top5: 0.0122
  Train Batch [2675/13801] | Loss: 19.4612 | Top1: 0.0019 | Top5: 0.0123
  Train Batch [2700/13801] | Loss: 19.4611 | Top1: 0.0019 | Top5: 0.0123
  Train Batch [2725/13801] | Loss: 19.4611 | Top1: 0.0018 | Top5: 0.0122
  Train Batch [2750/13801] | Loss: 19.4611 | Top1: 0.0018 | Top5: 0.0121
  Train Batch [2775/13801] | Loss: 19.4611 | Top1: 0.0018 | Top5: 0.0123
  Train Batch [2800/13801] | Loss: 19.4611 | Top1: 0.0019 | Top5: 0.0123
  Train Batch [2825/13801] | Loss: 19.4611 | Top1: 0.0019 | Top5: 0.0122
  Train Batch [2850/13801] | Loss: 19.4610 | Top1: 0.0018 | Top5: 0.0124
  Train Batch [2875/13801] | Loss: 19.4610 | Top1: 0.0018 | Top5: 0.0123
  Train Batch [2900/13801] | Loss: 19.4610 | Top1: 0.0018 | Top5: 0.0122
  Train Batch [2925/13801] | Loss: 19.4610 | Top1: 0.0018 | Top5: 0.0122
  Train Batch [2950/13801] | Loss: 19.4609 | Top1: 0.0018 | Top5: 0.0123
  Train Batch [2975/13801] | Loss: 19.4609 | Top1: 0.0018 | Top5: 0.0124
  Train Batch [3000/13801] | Loss: 19.4609 | Top1: 0.0018 | Top5: 0.0124
  Train Batch [3025/13801] | Loss: 19.4608 | Top1: 0.0018 | Top5: 0.0124
  Train Batch [3050/13801] | Loss: 19.4608 | Top1: 0.0019 | Top5: 0.0125
  Train Batch [3075/13801] | Loss: 19.4607 | Top1: 0.0019 | Top5: 0.0125
  Train Batch [3100/13801] | Loss: 19.4607 | Top1: 0.0019 | Top5: 0.0124
  Train Batch [3125/13801] | Loss: 19.4607 | Top1: 0.0018 | Top5: 0.0125
  Train Batch [3150/13801] | Loss: 19.4607 | Top1: 0.0018 | Top5: 0.0125
  Train Batch [3175/13801] | Loss: 19.4607 | Top1: 0.0018 | Top5: 0.0124
  Train Batch [3200/13801] | Loss: 19.4607 | Top1: 0.0018 | Top5: 0.0124
  Train Batch [3225/13801] | Loss: 19.4607 | Top1: 0.0019 | Top5: 0.0125
  Train Batch [3250/13801] | Loss: 19.4607 | Top1: 0.0019 | Top5: 0.0125
  Train Batch [3275/13801] | Loss: 19.4607 | Top1: 0.0020 | Top5: 0.0126
  Train Batch [3300/13801] | Loss: 19.4606 | Top1: 0.0021 | Top5: 0.0128
  Train Batch [3325/13801] | Loss: 19.4606 | Top1: 0.0023 | Top5: 0.0132
  Train Batch [3350/13801] | Loss: 19.4605 | Top1: 0.0023 | Top5: 0.0135
  Train Batch [3375/13801] | Loss: 19.4605 | Top1: 0.0023 | Top5: 0.0137
  Train Batch [3400/13801] | Loss: 19.4604 | Top1: 0.0023 | Top5: 0.0138
  Train Batch [3425/13801] | Loss: 19.4604 | Top1: 0.0023 | Top5: 0.0139
  Train Batch [3450/13801] | Loss: 19.4604 | Top1: 0.0023 | Top5: 0.0139
  Train Batch [3475/13801] | Loss: 19.4604 | Top1: 0.0024 | Top5: 0.0140
  Train Batch [3500/13801] | Loss: 19.4603 | Top1: 0.0025 | Top5: 0.0140
  Train Batch [3525/13801] | Loss: 19.4603 | Top1: 0.0025 | Top5: 0.0141
  Train Batch [3550/13801] | Loss: 19.4602 | Top1: 0.0025 | Top5: 0.0141
  Train Batch [3575/13801] | Loss: 19.4602 | Top1: 0.0025 | Top5: 0.0141
  Train Batch [3600/13801] | Loss: 19.4602 | Top1: 0.0026 | Top5: 0.0142
  Train Batch [3625/13801] | Loss: 19.4601 | Top1: 0.0028 | Top5: 0.0143
  Train Batch [3650/13801] | Loss: 19.4602 | Top1: 0.0027 | Top5: 0.0144
  Train Batch [3675/13801] | Loss: 19.4602 | Top1: 0.0028 | Top5: 0.0144
  Train Batch [3700/13801] | Loss: 19.4601 | Top1: 0.0028 | Top5: 0.0145
  Train Batch [3725/13801] | Loss: 19.4601 | Top1: 0.0030 | Top5: 0.0146
  Train Batch [3750/13801] | Loss: 19.4601 | Top1: 0.0030 | Top5: 0.0146
  Train Batch [3775/13801] | Loss: 19.4601 | Top1: 0.0030 | Top5: 0.0147
  Train Batch [3800/13801] | Loss: 19.4600 | Top1: 0.0030 | Top5: 0.0147
  Train Batch [3825/13801] | Loss: 19.4600 | Top1: 0.0030 | Top5: 0.0148
  Train Batch [3850/13801] | Loss: 19.4600 | Top1: 0.0030 | Top5: 0.0149
  Train Batch [3875/13801] | Loss: 19.4600 | Top1: 0.0030 | Top5: 0.0149
  Train Batch [3900/13801] | Loss: 19.4599 | Top1: 0.0030 | Top5: 0.0149
  Train Batch [3925/13801] | Loss: 19.4599 | Top1: 0.0031 | Top5: 0.0150
  Train Batch [3950/13801] | Loss: 19.4599 | Top1: 0.0030 | Top5: 0.0149
  Train Batch [3975/13801] | Loss: 19.4599 | Top1: 0.0030 | Top5: 0.0150
  Train Batch [4000/13801] | Loss: 19.4599 | Top1: 0.0030 | Top5: 0.0151
  Train Batch [4025/13801] | Loss: 19.4599 | Top1: 0.0031 | Top5: 0.0153
  Train Batch [4050/13801] | Loss: 19.4598 | Top1: 0.0031 | Top5: 0.0154
