TensorBoard log directory: /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_200940/tensorboard
Launch with: tensorboard --logdir /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_200940/tensorboard
Number of classes: 657
Train batches: 3944
Val batches: 695

===== Epoch 1/100 (LR: 2.00e-06) =====
WS-DAN Active: False (start_epoch=5)
  Train Batch [25/3944] | Loss: 6.4876 | Top1: 0.0000 | Top5: 0.0086
  Train Batch [50/3944] | Loss: 6.4876 | Top1: 0.0000 | Top5: 0.0086
  Train Batch [75/3944] | Loss: 6.4874 | Top1: 0.0000 | Top5: 0.0105
  Train Batch [100/3944] | Loss: 6.4874 | Top1: 0.0000 | Top5: 0.0086
  Train Batch [125/3944] | Loss: 6.4874 | Top1: 0.0006 | Top5: 0.0091
  Train Batch [150/3944] | Loss: 6.4876 | Top1: 0.0005 | Top5: 0.0076
  Train Batch [175/3944] | Loss: 6.4874 | Top1: 0.0004 | Top5: 0.0082
  Train Batch [200/3944] | Loss: 6.4874 | Top1: 0.0007 | Top5: 0.0086
  Train Batch [225/3944] | Loss: 6.4873 | Top1: 0.0010 | Top5: 0.0089
  Train Batch [250/3944] | Loss: 6.4872 | Top1: 0.0014 | Top5: 0.0094
  Train Batch [275/3944] | Loss: 6.4871 | Top1: 0.0016 | Top5: 0.0088
  Train Batch [300/3944] | Loss: 6.4870 | Top1: 0.0017 | Top5: 0.0088
  Train Batch [325/3944] | Loss: 6.4868 | Top1: 0.0022 | Top5: 0.0099
  Train Batch [350/3944] | Loss: 6.4868 | Top1: 0.0020 | Top5: 0.0104
  Train Batch [375/3944] | Loss: 6.4867 | Top1: 0.0021 | Top5: 0.0103
  Train Batch [400/3944] | Loss: 6.4866 | Top1: 0.0027 | Top5: 0.0109
  Train Batch [425/3944] | Loss: 6.4865 | Top1: 0.0029 | Top5: 0.0116
  Train Batch [450/3944] | Loss: 6.4864 | Top1: 0.0030 | Top5: 0.0119
  Train Batch [475/3944] | Loss: 6.4863 | Top1: 0.0032 | Top5: 0.0131
  Train Batch [500/3944] | Loss: 6.4863 | Top1: 0.0030 | Top5: 0.0134
  Train Batch [525/3944] | Loss: 6.4862 | Top1: 0.0030 | Top5: 0.0137
  Train Batch [550/3944] | Loss: 6.4861 | Top1: 0.0031 | Top5: 0.0134
  Train Batch [575/3944] | Loss: 6.4860 | Top1: 0.0031 | Top5: 0.0135
  Train Batch [600/3944] | Loss: 6.4860 | Top1: 0.0030 | Top5: 0.0138
  Train Batch [625/3944] | Loss: 6.4859 | Top1: 0.0030 | Top5: 0.0142
  Train Batch [650/3944] | Loss: 6.4858 | Top1: 0.0032 | Top5: 0.0147
  Train Batch [675/3944] | Loss: 6.4857 | Top1: 0.0033 | Top5: 0.0161
  Train Batch [700/3944] | Loss: 6.4856 | Top1: 0.0036 | Top5: 0.0173
  Train Batch [725/3944] | Loss: 6.4855 | Top1: 0.0038 | Top5: 0.0184
  Train Batch [750/3944] | Loss: 6.4854 | Top1: 0.0040 | Top5: 0.0188
  Train Batch [775/3944] | Loss: 6.4853 | Top1: 0.0043 | Top5: 0.0198
  Train Batch [800/3944] | Loss: 6.4852 | Top1: 0.0048 | Top5: 0.0205
  Train Batch [825/3944] | Loss: 6.4851 | Top1: 0.0049 | Top5: 0.0207
  Train Batch [850/3944] | Loss: 6.4849 | Top1: 0.0052 | Top5: 0.0218
  Train Batch [875/3944] | Loss: 6.4848 | Top1: 0.0054 | Top5: 0.0221
  Train Batch [900/3944] | Loss: 6.4848 | Top1: 0.0056 | Top5: 0.0229
  Train Batch [925/3944] | Loss: 6.4846 | Top1: 0.0061 | Top5: 0.0236
  Train Batch [950/3944] | Loss: 6.4846 | Top1: 0.0064 | Top5: 0.0247
  Train Batch [975/3944] | Loss: 6.4845 | Top1: 0.0072 | Top5: 0.0262
  Train Batch [1000/3944] | Loss: 6.4844 | Top1: 0.0071 | Top5: 0.0264
  Train Batch [1025/3944] | Loss: 6.4843 | Top1: 0.0072 | Top5: 0.0270
  Train Batch [1050/3944] | Loss: 6.4842 | Top1: 0.0077 | Top5: 0.0278
  Train Batch [1075/3944] | Loss: 6.4841 | Top1: 0.0080 | Top5: 0.0290
  Train Batch [1100/3944] | Loss: 6.4840 | Top1: 0.0081 | Top5: 0.0296
  Train Batch [1125/3944] | Loss: 6.4839 | Top1: 0.0083 | Top5: 0.0305
  Train Batch [1150/3944] | Loss: 6.4838 | Top1: 0.0086 | Top5: 0.0315
  Train Batch [1175/3944] | Loss: 6.4837 | Top1: 0.0089 | Top5: 0.0328
  Train Batch [1200/3944] | Loss: 6.4836 | Top1: 0.0093 | Top5: 0.0340
  Train Batch [1225/3944] | Loss: 6.4835 | Top1: 0.0096 | Top5: 0.0356
  Train Batch [1250/3944] | Loss: 6.4834 | Top1: 0.0101 | Top5: 0.0367
  Train Batch [1275/3944] | Loss: 6.4833 | Top1: 0.0107 | Top5: 0.0383
  Train Batch [1300/3944] | Loss: 6.4831 | Top1: 0.0112 | Top5: 0.0396
  Train Batch [1325/3944] | Loss: 6.4830 | Top1: 0.0116 | Top5: 0.0408
  Train Batch [1350/3944] | Loss: 6.4829 | Top1: 0.0122 | Top5: 0.0423
  Train Batch [1375/3944] | Loss: 6.4828 | Top1: 0.0127 | Top5: 0.0434
  Train Batch [1400/3944] | Loss: 6.4827 | Top1: 0.0133 | Top5: 0.0452
  Train Batch [1425/3944] | Loss: 6.4826 | Top1: 0.0136 | Top5: 0.0469
  Train Batch [1450/3944] | Loss: 6.4825 | Top1: 0.0145 | Top5: 0.0486
  Train Batch [1475/3944] | Loss: 6.4824 | Top1: 0.0151 | Top5: 0.0503
  Train Batch [1500/3944] | Loss: 6.4823 | Top1: 0.0157 | Top5: 0.0517
  Train Batch [1525/3944] | Loss: 6.4821 | Top1: 0.0168 | Top5: 0.0537
  Train Batch [1550/3944] | Loss: 6.4820 | Top1: 0.0173 | Top5: 0.0552
  Train Batch [1575/3944] | Loss: 6.4819 | Top1: 0.0183 | Top5: 0.0571
  Train Batch [1600/3944] | Loss: 6.4818 | Top1: 0.0192 | Top5: 0.0585
  Train Batch [1625/3944] | Loss: 6.4817 | Top1: 0.0198 | Top5: 0.0600
  Train Batch [1650/3944] | Loss: 6.4816 | Top1: 0.0204 | Top5: 0.0615
  Train Batch [1675/3944] | Loss: 6.4815 | Top1: 0.0209 | Top5: 0.0630
  Train Batch [1700/3944] | Loss: 6.4814 | Top1: 0.0221 | Top5: 0.0652
  Train Batch [1725/3944] | Loss: 6.4812 | Top1: 0.0231 | Top5: 0.0673
  Train Batch [1750/3944] | Loss: 6.4811 | Top1: 0.0238 | Top5: 0.0688
  Train Batch [1775/3944] | Loss: 6.4810 | Top1: 0.0248 | Top5: 0.0710
  Train Batch [1800/3944] | Loss: 6.4809 | Top1: 0.0255 | Top5: 0.0729
  Train Batch [1825/3944] | Loss: 6.4808 | Top1: 0.0263 | Top5: 0.0746
  Train Batch [1850/3944] | Loss: 6.4806 | Top1: 0.0272 | Top5: 0.0771
  Train Batch [1875/3944] | Loss: 6.4805 | Top1: 0.0282 | Top5: 0.0794
  Train Batch [1900/3944] | Loss: 6.4804 | Top1: 0.0291 | Top5: 0.0814
  Train Batch [1925/3944] | Loss: 6.4803 | Top1: 0.0297 | Top5: 0.0831
  Train Batch [1950/3944] | Loss: 6.4802 | Top1: 0.0306 | Top5: 0.0856
  Train Batch [1975/3944] | Loss: 6.4801 | Top1: 0.0314 | Top5: 0.0878
  Train Batch [2000/3944] | Loss: 6.4800 | Top1: 0.0326 | Top5: 0.0902
  Train Batch [2025/3944] | Loss: 6.4798 | Top1: 0.0337 | Top5: 0.0926
  Train Batch [2050/3944] | Loss: 6.4797 | Top1: 0.0348 | Top5: 0.0952
  Train Batch [2075/3944] | Loss: 6.4796 | Top1: 0.0357 | Top5: 0.0977
  Train Batch [2100/3944] | Loss: 6.4795 | Top1: 0.0365 | Top5: 0.0996
  Train Batch [2125/3944] | Loss: 6.4793 | Top1: 0.0375 | Top5: 0.1022
  Train Batch [2150/3944] | Loss: 6.4792 | Top1: 0.0389 | Top5: 0.1047
  Train Batch [2175/3944] | Loss: 6.4791 | Top1: 0.0401 | Top5: 0.1071
  Train Batch [2200/3944] | Loss: 6.4790 | Top1: 0.0409 | Top5: 0.1094
